btc_height,btc_hash,in_upstream,first_seen_chain
283254,0000000000000001b46bbcb89c93c5ca6b29d0d75b8b9b1ce95ce4d75854b1ee,yes,namecoin
283326,00000000000000006a37fcb285abc37e89728af8185e948a370cb9f27b37cb4a,yes,namecoin
283771,00000000000000019773eb5c1fb8445241cf39037d229976fae870eaf6fbd25e,yes,namecoin
283869,0000000000000001a0efb07533ea70c8cf8897bca4ff17995fefe3b5457b9ef1,yes,namecoin
283872,000000000000000037f2a00fad324ddcf276f9b18d0a8a9a43831f5555b10ed1,yes,namecoin
283905,0000000000000000a0e85623a84d510b67089116df517ec7b5e1c9e55ed028e0,yes,
283954,0000000000000000929fd0508b3f540b377bc1091065585cfccc0e31984a0e83,yes,
284161,0000000000000001a84226cdb273d7013ffe83a77a456cab9e3e3c824cb14853,yes,namecoin
284344,00000000000000003f080f1b7f86033dc7b1c908f11af3490a897194507b27da,yes,namecoin
284624,00000000000000016f099af98ed62864b969293b1be4c50b9394722f43d54ab3,yes,namecoin
284747,00000000000000016237d34a5990271b5a2dfb636b36c24b205cdf2089eb549c,yes,namecoin
284778,00000000000000001652d5472056b35e14c2e8db16b8608133c5ce0d1586d973,no,
285090,000000000000000189b367a7b94f837e9a8575c45b9e5c906c0ead98264c8ee0,yes,namecoin
285130,000000000000000125976d8cae1224afb0f85b9790257032e1dd0fdc1df1357b,no,i0coin
285180,000000000000000141f588aec7c2e9e64dd3e426bc276f6b244fa19de28e176d,yes,
285238,00000000000000000c4383c3fba158a064d5cf60fa6a0886a48b02c14a2ce645,yes,
285833,000000000000000154750d397949a5f2203500cdae8d447c14c6ae9b2001041d,yes,namecoin
285869,000000000000000132aaee801041431fa3ac66e61a5ffe240b08a25f32b863dd,yes,i0coin
285948,00000000000000009d7d02db607108a899932a9b6009ad2bf936c4015fc4ef0f,yes,namecoin
286287,00000000000000000ebb080435bf874c8168c156073f032b7ad5226bb978e87a,yes,namecoin
286371,0000000000000000abc0aab5990a06dcd313cfa60589edcfb4f4858388dcfe0c,yes,namecoin
287443,00000000000000006cb09a541723399a86bc36a3ffe1624a128d88703ceb0cf6,no,i0coin
287557,00000000000000002dc2a1b22219e7880f331e6c56662e37b7ebc959d952077e,no,
287715,000000000000000088c4d75005ab588da15ca5b7c6f0223696664336b3e42997,yes,namecoin
287728,00000000000000001e64d45c02bea16fd65e9633b7036d48721ccc974f5af2b8,no,i0coin
288737,00000000000000007a63e153b46c63e1e15f8b23ae43b5a4172312397355a640,yes,
288848,00000000000000010bdfaf70e75e00b1cc6fe34ec45b5511d4d77eb906b0cb67,yes,namecoin
288852,00000000000000006f75d48736c4ef373a3eb6bd9541814e3ecb142d028a8378,yes,namecoin
289235,000000000000000027fe47a3f48bfb6210905e5fc0ccc328592c5905e3f1669f,yes,namecoin
289542,00000000000000007e0ee4532ee23bef963defaf1925ff22f48d250eadc0f034,no,
289898,0000000000000000e1e40ee759ed5c23f9cddb3241d50ca8ce7d4adaf74db44a,yes,
290091,0000000000000000fbb4218a78acd3ea9941e1d48fd85d30f76876b31691eda5,no,
290543,00000000000000002420584ef35e70060317168be54aa9e352d0a962c622aeb6,no,
290556,00000000000000002e2d4915f884569100cb032f9138af42d2f59256e2267d73,yes,namecoin
291227,00000000000000000f86c4bc2cab38b65ddacddf4394eb17d99953dd45b487e1,yes,namecoin
291289,00000000000000002c8664b2c690e9f4ec61d955681767506933e28be8e73d07,yes,namecoin
291425,00000000000000006fdd524886d3d4088a4dee7036fff97ee43b587469fda6c6,yes,namecoin
291576,0000000000000000d594aade002752c65ee64b4c3df9aef457b9ddedd3e250a4,yes,namecoin
291727,00000000000000003f685ba703eb78081a11fc062ffbb1952ee8ee7fa5fc1f24,yes,namecoin
291918,00000000000000005cb8ba17f7f86c370ae0edbc6a4f89d538d202c9823022b4,yes,
292341,00000000000000002800a499f8f2cb449b7f9393ebe3a9b0c53a99e63048195d,yes,namecoin
292405,0000000000000000d7601b93cbeffd1d6e39da19e8234bb4ed8f4502c8d81cf7,no,i0coin
292533,0000000000000000d75a0713b40e425ec1008e72e5378e20c971380f0ddbf51f,yes,namecoin
292946,0000000000000000a9f67abee2f9075e911164abe7ceef0c806610325e20efc0,yes,
293653,000000000000000097661098af562ff8e16b41648de530afb1e210815aa1ccab,yes,
293684,00000000000000004e086956d305d0f22f1cfbd97cc5953792421d088231f442,no,i0coin
294003,00000000000000002d968f98996f40b11db1b2409be709b332fb3c08bd48028f,yes,namecoin
294674,0000000000000000a2cc5b9427289b9f1b6aad41d6ede145c20300412d04d073,yes,namecoin
294973,000000000000000043b5a2a51126a77172f928387ac8fa05a4285586a8b2092a,yes,namecoin
295093,00000000000000008da64c4fb6b9e8175c84b694afa939dc451199ce7465cdac,yes,namecoin
295112,00000000000000000adcc73e8c62f817aa7b896ff21d48c36fd529701b741d5b,yes,namecoin
295272,00000000000000000c3c02d964698c21d93c179bb1c84bc47b7aa5a753e962d8,yes,namecoin
295301,00000000000000005242496b3572f53edf94216915b5eb9954324f59b873f50e,yes,namecoin
295666,00000000000000007ca2ad813979860481e22128420bcd6d47917872b895e07a,yes,namecoin
295900,000000000000000032b45c7d4951bbc5d560affa9b703fc861b2745a7ef0a196,yes,namecoin
296161,0000000000000000afbc381b26db4edb92ca1bad0cc93be4435ae5439c638f76,yes,namecoin
296226,0000000000000000a0aaf4a5f8111aa4d7f53d93d3d4c1655b0b3968bbeca281,yes,namecoin
296359,0000000000000000057f4e286bc2c6344a05c2125631c7b3315468a3dc51b819,yes,namecoin
296499,00000000000000004e045128b2f7695fae773c14e8ca94807026b38f6a98f48a,yes,namecoin
296922,00000000000000005047574561883122b470408975759da3a3aaa427b26348a0,yes,namecoin
