chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note
namecoin,0000000000000591aacdf0041e58e40ffd5cfd6ea762cd642327b54e13be769b,40421,545dd15b79ab8c73d96507b5c44e722426e989ee8ebb2fb6aa825e0bf3adbc3d,1327955178,auxpow_parent_match,
namecoin,0000000000000750c046f99797bc228be7de9b3b664bffec369568e2cb36f11d,40564,f82500633f61be4a9b97ac8ed660b1c6951563cfd2bd0a07163612ffab71a5f5,1328036696,auxpow_parent_match,
namecoin,00000000000009c4893bdac7e77e5ad7f6b1908da1449e9cb8a98a5d02956693,40800,68ac4b163641694c906108a63a9a4e529365e2d7b122d211436ccee6b58e7044,1328165783,auxpow_parent_match,
namecoin,000000000000040211b25f3ee5685551e52e1d5f54264988174290821137298f,40891,71fb9c783d22e94a95fa78332146e3ff3211476ef3fe54daaa693ae693d5726c,1328207179,auxpow_parent_match,
namecoin,0000000000000ca23951784e20a54714a85c42f30fa504649aae0d0cea84ba83,40917,ece7d5f60d4124c6c254cd69c84a6a1c21dc341790f0577da575dd781b54fde4,1328220277,auxpow_parent_match,
namecoin,0000000000000ba1d9381a089c1e3b25672c4651cb4fec76eff7efd2b22444cb,40950,796f3409cc571a934e3c8597167032ae8a4add880b596458e4bbd4fa92835eeb,1328235771,auxpow_parent_match,
namecoin,0000000000000080fd6c6dd4fba232d103a10624552318a59a69134a6494273d,40961,a0ea5a30166aef6f97ed6a67b52014ea40a7376a0c634e4814c7c3727e9ef1e0,1328239187,auxpow_parent_match,
namecoin,00000000000002ed94f3bc516560e924d82dd727bb056a0613d7cf9afebf0a37,41040,f372f9dfb12bf9bb7d87a4357fb54e6c8dc7cd79a9398cd99e6be69a414078dc,1328277698,auxpow_parent_match,
namecoin,000000000000039df377de2b9857f100bfaebacaa5ca79cac43c0a2d60aa73ce,41108,47e8c3edfcb71065d24a5d4f389b5910af60619077999c029ead4d0ef148f96d,1328315229,auxpow_parent_match,
namecoin,000000000000031a6db0ef51b634a3b21c690661758c92707f9a87c433103b1c,41222,d4f3b03f5b3ef2af3937ac0b615728153aba445627ed50c584146b642d4253f3,1328365596,auxpow_parent_match,
namecoin,000000000000021d091aa7b0ec4873ff705d346b1c9490b4405af7909d045f27,41262,9d8254377313dd249688508913400f34e89f4ae343e827526f45b1ff6c8b90dc,1328384263,auxpow_parent_match,
namecoin,00000000000005c273a4f75f2c02ae54e0e6816096f33e1d9ef98bcb70391aa6,41332,1f747bc241f0b81d9bb0a4b8fdd71e62082f24e8969ceee405c96afcdf4a3f83,1328425622,auxpow_parent_match,
namecoin,0000000000000a50f1de5eb6182778660266764e919b573c1ea8697fef0974cb,41434,078027ca0ffb357075ea10e6126c57a887e208794ff56cfbb66ca2c676170c05,1328476647,auxpow_parent_match,
namecoin,000000000000063f9d12063fb14c0f1b053ddf32c3fc5b15b97db1505851a4e8,41445,1c485e337550a2772868c0aef6ab218ea918c1b7ecddcba085739950e99f801e,1328481146,auxpow_parent_match,
namecoin,00000000000004c54de4d2fb42d20d0810367519b456b544be766270d4c1601c,41480,24701431a8b30e733c0fb9eeca19dd3766a88359f23e235695817adcb6e1bd3f,1328502258,auxpow_parent_match,
namecoin,00000000000007bc788422db936261006dac506afdefcc8ee8623228dd089379,41528,deee9fa2e73e55175a55f1637ff4036cf1527a68bbb386e871fa3de44dedc124,1328528434,auxpow_parent_match,
namecoin,0000000000000406d81a8c92fd5f46d7cbcc32c545764cbddc72cde242afcde5,41596,2f9bd8d173f784064dc05761afa8bed2787feeb74123c3cb60f828d3a1088f32,1328579712,auxpow_parent_match,
namecoin,00000000000003e0e1de5e64b6b4f86dd1315f22ea8f03eb75e4eb53f1a14faf,41683,4a13fd29a80eb577932a9bcc5dbc923356846cdfdba7ef54a5723bff6493461b,1328631227,auxpow_parent_match,
namecoin,00000000000001c3505024be76175ca8d7bf7af3837fdf50c97bb6b51c811e2b,41796,49375aaf8eb5d0155408ecae6cf16653b71427b996ae187ae4e0c10544bf71f3,1328702566,auxpow_parent_match,
namecoin,00000000000000e5d04a73855f5355d4c499328c2749355e09aa515f2fba5080,41935,d73038ae81a1340b955b6d3d80a6a7326d0fce820eac9890af515bc143deece5,1328784191,auxpow_parent_match,
namecoin,00000000000006c31a95779b46b5836f456034f3740e17df45894af5f08285ad,42075,a4bd3a4a43bad97ca37ab09c30947fcf1a5d31df38b0287bd562f34beabe33ea,1328870800,auxpow_parent_match,
namecoin,000000000000048bbf1d28adbd2a0b7058444619371afee50e6e9c2a1f9f9200,42227,fc1cbd12e9c982ab658ac9491a23b26fd65020d0c67b43150d6dcceedace6c81,1328975394,auxpow_parent_match,
namecoin,0000000000000b3e29d8c2df3e577c57dfabdd6852e131a21aa006b9d6e9e31c,42275,d1e6b4a170f6bb480246fa64110d85a2811d2325e91aae1e348f468a378616cb,1329008042,auxpow_parent_match,
namecoin,00000000000007f0bffe58cb5516c0935cfaa008486057a5c6c27ca6449052bf,42332,ef8b9083a24cdc306b7508ea5dbd1f27a86da56663652d2bd7eb4d2e155eec8f,1329037611,auxpow_parent_match,
namecoin,000000000000038e347b17693c6bfab4c258f1aca517775c530235bf2b2ec3b9,42362,402604b362109f300276a77a0e3a8cd12eff00502edc48e350e216e498474540,1329061548,auxpow_parent_match,
namecoin,0000000000000827dc9caf90e3b49500572cbeed5a00225579c8deae374c6110,42395,30c4acd36326822b13d76797c773b5df6b1b10f97142d661913f8a6f303fd4a1,1329080223,auxpow_parent_match,
namecoin,0000000000000884fede1677ccb7354fa2bce0aa58061c8547d408fb813c91c8,42599,80cc1fcdc0e303d5656b8ac70a91ddd0293ff4e04e9a11ff7de7870b518427bf,1329206445,auxpow_parent_match,
namecoin,000000000000032bcff32b408bdc97928a74202b085c1a6130bf7f2b8a33a8d0,42764,59423e59dcf7442073faa8b846eb0dcc9b2f14043e970bf474b39837efe5e56f,1329306948,auxpow_parent_match,
namecoin,00000000000005f103560a0c3d7b7978d63762e2a7e79877c8531642edcd7935,42892,78bf5fe3b8d677c5aa66f47b5b050fe6937cf8a1dbc487504cd192786f7db3ff,1329394907,auxpow_parent_match,
namecoin,000000000000047232c65cc905fc5038f3d04639e7339453bc7aed5ebc0fd1a5,42897,a9aa29a51158213eeeb48c6b8deb3fd976c795a24762f7cc9b97b80ca3bcc94b,1329397971,auxpow_parent_match,
namecoin,0000000000000c06420a5f9e586f057fb622aad59288734e213b8e1f2f3f33bd,43368,5abf7e5b687986e32a52606dcd5ce73c7b373703bc43eb79904048ee465229ba,1329668128,auxpow_parent_match,
namecoin,0000000000000644cb9425d23d06e2db5c6adeddbb12ecaa4c42c26a053e2c44,43413,416ea66245805492dc7b2545ae11784e3e511ea3e8f8727cdb060bb28016f405,1329697124,auxpow_parent_match,
namecoin,00000000000008ce62560ec18fc5432bd8e7810811cca7578c390d54277920b3,43662,9aea116a631a923734db97f95eede00af782980ffbb07aedd8814b23179a068a,1329873117,auxpow_parent_match,
namecoin,00000000000006c889c4aa89efa19cbafa055d1c24ffd2e4f3c5d0c1de0a48c4,43676,93a1802686f4cc4784747ce0ff8839a616aa5b8348daa92d49e45262de922c58,1329884162,auxpow_parent_match,
namecoin,0000000000000b8fcfdbd8a70848e720492989464c6dc0d1d9c012b93c910515,43847,9a9ee5963f43bccf653216b8db6b726cb2a9392ea94a08ee45eb6b5c2e372d6d,1329976660,auxpow_parent_match,
